zodiac,question,card1,card2,card3,reading,category,question_sentiment,reading_sentiment
Sagittarius,What does the universe want me to know about my health?,Queen of Cups,Ace of Wands,Justice,"Reading:  Sagittarius, your intuition is your best guide regarding health right now.  New energy is coming in to support positive changes.  Be honest with yourself about what balance looks like for *you*. Prioritize self-care and listen to your gut.",health,NEGATIVE,POSITIVE
Sagittarius,What role does rest play in my healing?,Six of Wands,Nine of Swords,Strength,Reading:  The Six of Wands suggests rest will boost your confidence after a difficult time.  The Nine of Swords shows you need to release anxieties through deliberate rest. Strength indicates you have the inner power to prioritize it.  Make rest a non-negotiable part of your routine.,health,NEGATIVE,POSITIVE
Leo,How can I release fear about my health?,Death,The Star,The Moon,"Reading:  Leo, Death shows you're ready to let go of old anxieties. The Star brings renewed hope and clarity around your well-being.  The Moon suggests some lingering uncertainty is normal.  Focus on the positive changes ahead.",health,NEGATIVE,POSITIVE
Taurus,What healing practices should I explore?,Five of Pentacles,Seven of Wands,Three of Cups,"Taurus, the Five of Pentacles suggests focusing on practical self-care related to your physical health. The Seven of Wands points toward finding strength in group activities or shared experiences.  The Three of Cups encourages you to connect with friends for emotional support. Explore healing through community and physical wellness.",health,POSITIVE,POSITIVE
Cancer,What is the spiritual cause of my physical issues?,Page of Cups,Page of Wands,Four of Cups,"Cancer, your emotional immaturity (Page of Cups) and blocked creative energy (Page of Wands) are contributing to your physical problems.  You're overlooking available solutions (Four of Cups), stuck in a rut. Look for simple joys and express yourself.",health,NEGATIVE,NEGATIVE
Gemini,How can I create a healthier lifestyle?,Seven of Cups,Justice,The World,"Gemini, the Seven of Cups suggests you're overwhelmed by options.  Justice highlights the need for balance and honest self-assessment. The World indicates you have the resources for success.  Focus on one achievable change at a time.",health,NEGATIVE,POSITIVE
Virgo,How can I release fear about my health?,Seven of Pentacles,Temperance,Queen of Pentacles,"Virgo, the Seven of Pentacles suggests you're putting in the work but lack patience.  Temperance and the Queen of Pentacles encourage balance and nurturing.  Trust the process and focus on self-care for sustainable well-being.",health,NEGATIVE,POSITIVE
Cancer,What is my intuition telling me about my health?,Eight of Pentacles,Six of Wands,Eight of Wands,"Cancer, your intuition says you need to focus on building healthy habits, one step at a time.  You're on the right path towards achieving your wellness goals and seeing swift progress. Keep up the consistent effort.",health,NEGATIVE,POSITIVE
Leo,How can I be more compassionate to my body?,Page of Wands,Nine of Swords,The Moon,Reading:  The Page of Wands encourages playful exploration of joyful movement. The Nine of Swords suggests you're overthinking your perceived flaws. The Moon reminds you to trust your intuition about what your body needs.  Try something new and be kind to yourself.,health,NEGATIVE,POSITIVE
Aries,What role does movement play in my healing?,Ten of Pentacles,Justice,The Moon,"Reading:  The Ten of Pentacles suggests grounding through familiar routines. Justice points to finding balance in your activities, addressing any imbalances. The Moon reminds you to trust your intuition as you explore new ways to move.  Consider incorporating both structured and intuitive movement into your healing.",health,NEGATIVE,POSITIVE
Aries,Is stress affecting my body more than I realize?,Eight of Swords,Knight of Cups,Three of Cups,"Aries, the Eight of Swords suggests you're feeling trapped by stress, but the Knight of Cups and Three of Cups show support and good times are available.  You might be overlooking how stress impacts your physical well-being. Prioritize self-care and connection to ease tension.",health,NEGATIVE,POSITIVE
Sagittarius,What does the universe want me to know about my health?,Nine of Cups,King of Cups,Death,"Reading:  Sagittarius, you've been indulging a bit too much lately, and it's catching up to you.  Emotional balance and letting go of old habits are key right now.  Transformation is on the horizon, embrace healthy change.  Time for a reset!",health,NEGATIVE,POSITIVE
Leo,Will my healing be quick or slow?,Three of Pentacles,Ten of Pentacles,Two of Swords,"Leo, your healing looks like a collaborative effort and will require steady work, leading to long-term stability. You might feel stuck or unsure what decision to make, hindering the process somewhat.  Focus on the teamwork aspect and trust the process for lasting results.",health,NEGATIVE,POSITIVE
Leo,How can I release fear about my health?,The Sun,Two of Swords,The World,Reading:  The Sun brings optimism; your outlook is brighter than you think. The Two of Swords suggests you're stuck in indecision; get a second opinion. The World represents wholeness; you are on a path toward healing. Trust your intuition and take action.,health,NEGATIVE,POSITIVE
Aries,How can I better support my physical well-being?,Five of Wands,Queen of Cups,Page of Swords,Reading:  The Five of Wands suggests you're feeling overwhelmed and scattered.  The Queen of Cups encourages finding emotional balance through gentle self-care. The Page of Swords reminds you to be curious and explore new wellness practices.  Prioritize rest and try something new.,health,NEGATIVE,POSITIVE
Leo,What does the universe want me to know about my health?,Two of Wands,Five of Swords,The Hanged Man,"Reading:  Leo, you're at a crossroads about your well-being, possibly facing a minor conflict related to your habits. Consider pausing and reflecting before pushing forward, as a new perspective may be needed.  Re-evaluate your current approach.",health,NEGATIVE,NEGATIVE
Cancer,Am I neglecting any part of my well-being?,The Emperor,Ten of Wands,King of Pentacles,"Reading:  Cancer, you're in control but shouldering too much, likely work-related. This is impacting your ability to relax and enjoy your resources. Delegate tasks and prioritize rest.",health,NEGATIVE,POSITIVE
Aquarius,What past wounds are still affecting my body?,Two of Swords,The Hermit,Five of Pentacles,"Reading:  Aquarius, the Two of Swords and Hermit suggest you're avoiding a difficult emotional truth.  This unresolved conflict, shown by the Five of Pentacles, manifests as physical tension or illness. Acknowledge the past to begin healing.",health,NEGATIVE,NEGATIVE
Leo,How can I strengthen my immune system?,The Hanged Man,The Emperor,Four of Wands,"Leo, The Hanged Man suggests a need to pause and reflect on your current habits.  The Emperor points towards establishing a healthy routine and boundaries.  The Four of Wands celebrates the stability this will bring.  Prioritize rest, healthy food, and regular exercise.",health,NEGATIVE,POSITIVE
Capricorn,How can I cultivate more self-care in my life?,The Chariot,Five of Cups,The Empress,"Reading:  Capricorn, The Chariot suggests taking control of your schedule.  The Five of Cups shows you dwelling on what's lacking; shift your focus to gratitude.  The Empress encourages nurturing yourself; prioritize rest and enjoyable activities.  Start small, and be kind to yourself.",health,NEGATIVE,POSITIVE
Aries,How can I cultivate more self-care in my life?,Judgement,Justice,Seven of Cups,"Aries, Judgement encourages honest reflection on past habits. Justice suggests setting clear boundaries and priorities. The Seven of Cups reminds you to choose fulfilling activities, not just distractions.  Focus on balanced choices that truly nourish you.",health,NEGATIVE,POSITIVE
Libra,How can I create a healthier lifestyle?,Five of Pentacles,King of Swords,Three of Cups,"Libra, the Five of Pentacles suggests you're feeling deprived, but the King of Swords encourages clear decision-making regarding your health. The Three of Cups reminds you that support is available. Prioritize self-care and connect with your friends for motivation.",health,NEGATIVE,POSITIVE
Libra,What role does rest play in my healing?,Justice,Ten of Wands,Five of Pentacles,"Libra, Justice reveals a need for balance.  The Ten of Wands suggests you're overburdened, hindering recovery.  The Five of Pentacles highlights the isolation this creates. Prioritize rest to regain balance and reconnect.",health,NEGATIVE,POSITIVE
Scorpio,How can I create a deeper mind-body connection?,Nine of Swords,Nine of Wands,The Sun,"Reading:  Scorpio, the Nine of Swords suggests you're overthinking, blocking your mind-body connection. The Nine of Wands shows resilience; keep trying new practices like yoga or meditation. The Sun brings joy and vitality, promising a brighter, more connected future.  Try focusing on the present moment.",health,NEGATIVE,NEGATIVE
Leo,How can I create a healthier lifestyle?,Seven of Swords,Two of Cups,Five of Swords,Reading:  The Seven of Swords suggests dropping sneaky bad habits.  The Two of Cups encourages finding a workout buddy for support. The Five of Swords shows conflict; prioritize your well-being over less healthy desires.  Team up and cut out the junk.,health,NEGATIVE,NEGATIVE
Leo,What health habits should I avoid?,The World,The Star,Eight of Wands,"Leo, The World, Star, and Eight of Wands suggest avoiding burnout from overdoing fitness or wellness trends.  Don't neglect rest and recovery to chase quick results. Pace yourself for sustainable healthy habits.",health,NEGATIVE,POSITIVE
