zodiac,question,card1,card2,card3,reading
Aries,Is this the right field of study for me?,The Hanged Man,Five of Swords,The Tower,"Aries, these cards suggest a need for perspective. You may feel stuck or like your current path isn't working. A big change might be coming, forcing you to re-evaluate. Consider if this field truly aligns with your long-term goals."
Virgo,What message do the cards have about my thesis or project?,Seven of Wands,Page of Cups,Judgement,"Reading:  You're facing some opposition regarding your thesis, but stay strong in your convictions.  New creative inspiration will help you refine your ideas. This project represents a big step forward; embrace the change.  Stay open to feedback and revise accordingly."
Aquarius,What mindset will help me grow as a student?,Nine of Pentacles,Two of Swords,Judgement,"Reading:  Aquarius, the Nine of Pentacles suggests focusing on self-sufficiency in your studies.  The Two of Swords hints at needing to make clear decisions about your priorities. Judgement encourages reflecting on past choices to inform future learning.  Trust your own judgement and be organized."
Pisces,How can I connect my education to my life purpose?,The Hierophant,Page of Pentacles,Nine of Wands,"Reading:  Pisces, The Hierophant suggests seeking traditional structures like mentorships or apprenticeships.  The Page of Pentacles encourages practical skill-building related to your studies. The Nine of Wands reminds you to persevere through challenges.  Keep learning and applying your knowledge."
Cancer,Will I succeed in my current academic goals?,Four of Wands,Ace of Swords,The High Priestess,"Reading:  The Four of Wands shows a solid foundation for success, while the Ace of Swords suggests you have the intellect to achieve your goals. The High Priestess encourages trusting your intuition as you move forward.  Stay focused and listen to your inner voice."
Sagittarius,Is fear blocking me from achieving academic excellence?,Seven of Cups,The Tower,Eight of Pentacles,"Sagittarius, your Seven of Cups suggests you're overwhelmed by choices, not fear.  The Tower reveals needed change in your study habits. The Eight of Pentacles points to focusing your energy on consistent effort.  Simplify, rebuild, and work steadily."
Aquarius,What does the future hold for my academic journey?,The Chariot,Three of Swords,Nine of Swords,"Aquarius, your academic path has some bumps ahead.  You may face tough choices and stressful periods.  Your drive (The Chariot) will help overcome these challenges.  Stay focused and don't let worries overwhelm you."
Taurus,How can I connect my education to my life purpose?,Five of Swords,The Magician,The Sun,"Reading:  Taurus, the Five of Swords suggests past conflicts are holding you back.  The Magician shows you have the power to create your ideal path. The Sun illuminates a bright, joyful future combining your passions and skills. Let go of old limitations and build the life you want."
Gemini,What is my soul guiding me to study?,Four of Wands,Three of Cups,The Fool,"Reading:  The Four of Wands suggests a structured, community-based subject.  The Three of Cups points towards collaborative creative fields. The Fool encourages you to explore something totally new and exciting. Follow your curiosity and connect with others."
Leo,What limiting beliefs do I have about being a student?,Eight of Swords,Queen of Cups,The Devil,"Reading:  Leo, the Eight of Swords suggests you feel trapped by self-doubt.  The Queen of Cups hints you're ignoring your intuition and emotional needs.  The Devil reveals a fear of failure holding you back.  Let go of these limiting beliefs to unlock your potential."
Scorpio,What is blocking my academic progress?,Eight of Wands,Knight of Swords,Knight of Wands,"Reading:  Your fast-paced thinking (Knight of Swords) might be scattered, delaying focused work (Eight of Wands).  The Knight of Wands also suggests impulsive actions are hindering consistent effort.  Slow down and prioritize tasks."
Capricorn,What is the next best step in my education?,Knight of Pentacles,The Hierophant,Four of Pentacles,"Capricorn, your cards suggest a practical approach.  The Knight of Pentacles and Hierophant point to structured learning and established institutions.  The Four of Pentacles suggests focusing your resources on one specific area.  Choose a specialized course or certification program."
Sagittarius,What is my soul guiding me to study?,The Sun,Ten of Pentacles,Three of Swords,"Reading:  Sagittarius, The Sun illuminates a path towards joyful learning.  The Ten of Pentacles suggests practical skills and long-term security.  However, the Three of Swords hints at releasing outdated beliefs that hold you back.  Choose a subject that brings you joy and builds a solid foundation, but don't be afraid to break free from old ways of thinking."
Virgo,What do I need to unlearn to move forward?,Eight of Wands,The Tower,The Devil,"Virgo, the Eight of Wands, Tower, and Devil suggest you ditch the need to overthink and control every detail.  Release the fear of sudden change and embrace necessary destruction.  Let go of limiting beliefs and self-sabotaging behaviors.  It's time to simplify and break free."
Aries,Should I pursue higher education?,Nine of Wands,Eight of Swords,Seven of Wands,"Reading:  The Nine of Wands shows you're resilient but tired.  The Eight of Swords suggests you feel stuck, but possibilities exist.  The Seven of Wands indicates you're ready to defend your choices.  Consider what truly motivates you before making a decision."
Pisces,What is my soul guiding me to study?,The Fool,Nine of Cups,The Empress,"Reading:  Pisces, The Fool encourages you to jump into something new, while the Nine of Cups suggests following your passions. The Empress signifies nurturing your creativity and creating something beautiful.  Trust your intuition and explore artistic fields."
Cancer,How can I better organize my academic life?,Nine of Swords,The Emperor,King of Pentacles,Reading:  The Nine of Swords suggests you're stressed about school.  The Emperor and King of Pentacles show you need structure and practical planning.  Create a schedule and stick to it for better academic organization.
Taurus,What energy surrounds my learning process?,Eight of Cups,Seven of Wands,Ace of Swords,"Taurus, you're walking away from old learning styles that no longer serve you. You're ready to defend your new approach, even if it's challenging.  A fresh, clear perspective will guide your learning journey.  Embrace the change and trust your instincts."
Sagittarius,Will my efforts in school lead to success?,King of Cups,Three of Wands,Queen of Cups,"Sagittarius, your emotional maturity (King of Cups) combined with your forward-thinking nature (Three of Wands) suggests promising progress.  The Queen of Cups reinforces that your intuition will guide you well. Trust your gut and stay focused, and you'll likely see the results you want."
